Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Completion Year,Tenure Type,Property Type,Floor Range,Land Title,State,price,Facility_Barbeque area,Facility_Club house,Facility_Gymnasium,Facility_Jogging Track,Facility_Lift,Facility_Minimart,Facility_Multipurpose hall,Facility_Parking,Facility_Playground,Facility_Sauna,Facility_Security,Facility_Squash Court,Facility_Swimming Pool,Facility_Tennis Court,Has_Mall,Has_Park,Has_School,Has_Hospital,Has_Bus_Stop,Has_Highway,Has_Railway_Station,Has_Nearby_School,Has_Nearby_Mall,Has_Nearby_Railway_Station
3.0,2.0,1113.0,38.0,,2.0,2010.0,Leasehold,Condominium,-,Non Bumi Lot,Penang,610000.0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,1000.0,,,2.0,,Freehold,Condominium,Medium,Non Bumi Lot,Sepang,320000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,650.0,,,1.0,2014.0,Freehold,Apartment,Medium,Non Bumi Lot,Penang,215000.0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,23.0,433.0,1.0,1999.0,Freehold,Apartment,Medium,Non Bumi Lot,Penang,320000.0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,660.0,,,0.0,,Freehold,Apartment,Medium,Bumi Lot,Negeri Sembilan,120000.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1200.0,19.0,142.0,2.0,,Freehold,Condominium,-,Non Bumi Lot,Penang,580000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,926.0,,,2.0,,Freehold,Service Residence,Low,Non Bumi Lot,Klang,456000.0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1076.0,,,0.0,,Freehold,Apartment,-,Non Bumi Lot,Penang,380000.0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1100.0,,342.0,1.0,2012.0,Leasehold,Condominium,High,Non Bumi Lot,Selangor,465000.0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
2.0,2.0,769.0,21.0,613.0,2.0,2021.0,Freehold,Condominium,Medium,Non Bumi Lot,Johor,380000.0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,1012.0,18.0,600.0,1.0,,Freehold,Condominium,-,Non Bumi Lot,Kuala Lumpur,370000.0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1
3.0,3.0,1288.0,30.0,808.0,1.0,2013.0,Freehold,Condominium,-,Non Bumi Lot,Penang,695000.0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,700.0,19.0,322.0,1.0,1999.0,Freehold,Apartment,Low,Non Bumi Lot,Penang,368000.0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,874.0,11.0,,1.0,,Leasehold,Apartment,Low,Non Bumi Lot,Selangor,275000.0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
3.0,2.0,883.0,5.0,,0.0,,Leasehold,Apartment,Medium,Non Bumi Lot,Selangor,230000.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
3.0,2.0,1150.0,28.0,650.0,0.0,2017.0,Leasehold,Condominium,-,Non Bumi Lot,Kuala Lumpur,440000.0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0
3.0,2.0,791.0,,,1.0,,Freehold,Apartment,High,Bumi Lot,Selangor,220000.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2.0,2.0,710.0,,,0.0,,Leasehold,Service Residence,High,Non Bumi Lot,Melaka,460000.0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,850.0,21.0,744.0,1.0,2002.0,Freehold,Condominium,Medium,Non Bumi Lot,Kuala Lumpur,250000.0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
3.0,2.0,1055.0,22.0,246.0,2.0,2006.0,Freehold,Apartment,High,Non Bumi Lot,Selangor,280000.0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
